Name,Age,Salary,Department,Joining_Date
Person_91,46.0,9999999,IT,2000-03-19 21:25:45.634563456
Person_92,,47977,HR,2000-03-20 18:28:02.808280828
Person_93,62.0,101794,IT,2000-03-21 15:30:19.981998200
Person_94,,34636,HR,2000-03-22 12:32:37.155715571
Person_95,,65294,Sales,2000-03-23 09:34:54.329432943
Person_96,24.0,58398,Sales,2000-03-24 06:37:11.503150315
Person_97,26.0,39261,Sales,2000-03-25 03:39:28.676867686
Person_98,,55875,HR,2000-03-26 00:41:45.850585058
Person_99,18.0,40616,Sales,2000-03-26 21:44:03.024302430
Person_100,61.0,123248,Finance,2000-03-27 18:46:20.198019802
Person_101,,50760,IT,2000-03-28 15:48:37.371737173
Person_102,41.0,63393,HR,
Person_103,28.0,39503,Sales,2000-03-30 09:53:11.719171917
Person_104,34.0,91976,Finance,2000-03-31 06:55:28.892889289
Person_105,,46503,IT,2000-04-01 03:57:46.066606660
Person_106,52.0,50608,IT,2000-04-02 01:00:03.240324032
Person_107,,66213,Sales,2000-04-02 22:02:20.414041404
Person_108,,ten thousand,Finance,2000-04-03 19:04:37.587758776
Person_109,22.0,51719,HR,2000-04-04 16:06:54.761476147
Person_110,,,Sales,2000-04-05 13:09:11.935193519
Person_111,,81871,IT,2000-04-06 10:11:29.108910891
Person_112,58.0,81100,IT,
Person_113,45.0,58383,IT,
Person_114,,62632,Sales,2000-04-09 01:18:20.630063006
Person_115,26.0,70799,Marketing,2000-04-09 22:20:37.803780378
Person_116,,39463,Marketing,2000-04-10 19:22:54.977497749
Person_117,29.0,ten thousand,Marketing,2000-04-11 16:25:12.151215121
Person_118,,61349,Finance,2000-04-12 13:27:29.324932493
Person_119,50.0,76060,Sales,2000-04-13 10:29:46.498649865
Person_120,40.0,50482,IT,2000-04-14 07:32:03.672367236
Person_121,,57968,Finance,2000-04-15 04:34:20.846084608
Person_122,54.0,68000,Marketing,2000-04-16 01:36:38.019801980
Person_123,52.0,56400,HR,2000-04-16 22:38:55.193519352
Person_124,61.0,,Finance,2000-04-17 19:41:12.367236724
Person_125,57.0,122072,Finance,2000-04-18 16:43:29.540954096
Person_126,39.0,41575,Sales,2000-04-19 13:45:46.714671466
Person_127,44.0,106865,Finance,2000-04-20 10:48:03.888388838
Person_128,52.0,67535,Sales,2000-04-21 07:50:21.062106210
Person_129,18.0,44904,HR,2000-04-22 04:52:38.235823582
Person_130,52.0,107280,IT,2000-04-23 01:54:55.409540954
Person_131,54.0,64611,IT,2000-04-23 22:57:12.583258326
Person_132,64.0,55894,Marketing,2000-04-24 19:59:29.756975698
Person_133,31.0,62415,Marketing,2000-04-25 17:01:46.930693068
Person_134,20.0,,HR,
Person_135,,82637,IT,
Person_136,22.0,35485,Marketing,
Person_137,43.0,77895,Finance,2000-04-29 05:10:55.625562556
Person_138,31.0,48292,Sales,
Person_139,56.0,92558,Marketing,
Person_140,44.0,55902,HR,2000-05-01 20:17:47.146714672
Person_141,26.0,70955,IT,2000-05-02 17:20:04.320432042
Person_142,32.0,63571,HR,2000-05-03 14:22:21.494149414
Person_143,32.0,49505,Sales,
Person_144,,66621,Sales,2000-05-05 08:26:55.841584158
Person_145,59.0,45650,HR,2000-05-06 05:29:13.015301530
Person_146,30.0,53189,Marketing,2000-05-07 02:31:30.189018902
Person_147,49.0,61645,Marketing,2000-05-07 23:33:47.362736274
Person_148,56.0,69674,IT,2000-05-08 20:36:04.536453644
Person_149,49.0,88396,IT,2000-05-09 17:38:21.710171016
Person_150,,,Finance,2000-05-10 14:40:38.883888388
Person_151,47.0,115467,Finance,2000-05-11 11:42:56.057605760
Person_152,,66343,IT,
Person_153,40.0,72475,Finance,
Person_154,,,HR,2000-05-14 02:49:47.578757876
Person_155,62.0,84505,Marketing,2000-05-14 23:52:04.752475248
Person_156,32.0,68491,Finance,2000-05-15 20:54:21.926192618
Person_157,,91030,Finance,2000-05-16 17:56:39.099909990
Person_158,46.0,39002,HR,2000-05-17 14:58:56.273627362
Person_159,,38438,Sales,
Person_160,,ten thousand,IT,2000-05-19 09:03:30.621062106
Person_161,49.0,76684,HR,2000-05-20 06:05:47.794779478
Person_162,24.0,50762,Sales,
Person_163,,48961,HR,2000-05-22 00:10:22.142214220
Person_164,45.0,,Marketing,
Person_165,19.0,55315,HR,2000-05-23 18:14:56.489648964
Person_166,,68456,HR,
Person_167,62.0,106110,Marketing,2000-05-25 12:19:30.837083708
Person_168,23.0,61994,IT,
Person_169,45.0,79258,Sales,
Person_170,45.0,76861,Finance,2000-05-28 03:26:22.358235824
Person_171,61.0,9999999,IT,2000-05-29 00:28:39.531953194
Person_172,61.0,55346,HR,2000-05-29 21:30:56.705670566
Person_173,37.0,51977,Finance,2000-05-30 18:33:13.879387938
Person_174,47.0,,Marketing,2000-05-31 15:35:31.053105310
Person_175,,52883,IT,2000-06-01 12:37:48.226822682
Person_176,45.0,75741,Sales,2000-06-02 09:40:05.400540054
Person_177,42.0,67203,IT,2000-06-03 06:42:22.574257426
Person_178,56.0,103675,IT,2000-06-04 03:44:39.747974796
Person_179,50.0,93049,Finance,2000-06-05 00:46:56.921692168
Person_180,18.0,,Marketing,2000-06-05 21:49:14.095409540
Person_181,,51402,Marketing,2000-06-06 18:51:31.269126912
Person_182,30.0,83996,IT,2000-06-07 15:53:48.442844284
Person_183,,,Marketing,2000-06-08 12:56:05.616561656
Person_184,20.0,,Finance,2000-06-09 09:58:22.790279028
Person_185,56.0,104262,Finance,2000-06-10 07:00:39.963996400
Person_186,,72574,Sales,
Person_187,25.0,63656,Marketing,2000-06-12 01:05:14.311431142
Person_188,44.0,74317,Sales,2000-06-12 22:07:31.485148514
Person_189,26.0,65414,HR,2000-06-13 19:09:48.658865886
Person_190,,82247,Finance,
Person_191,50.0,61305,IT,2000-06-15 13:14:23.006300630
Person_192,59.0,,Finance,2000-06-16 10:16:40.180018002
Person_193,61.0,48113,HR,2000-06-17 07:18:57.353735372
Person_194,41.0,57683,IT,
Person_195,32.0,35989,Marketing,
Person_196,49.0,62033,Marketing,2000-06-19 22:25:48.874887488
Person_197,49.0,86728,Finance,
Person_198,41.0,92891,IT,2000-06-21 16:30:23.222322232
Person_199,58.0,98689,IT,2000-06-22 13:32:40.396039604
Person_200,29.0,42540,Sales,2000-06-23 10:34:57.569756976
Person_201,56.0,86245,HR,2000-06-24 07:37:14.743474346
Person_202,19.0,68296,Marketing,
Person_203,20.0,79427,Finance,2000-06-26 01:41:49.090909090
Person_204,54.0,106554,IT,
Person_205,34.0,65217,Marketing,
Person_206,,72496,Finance,
Person_207,19.0,55862,Marketing,2000-06-29 13:50:57.785778578
Person_208,,92262,Finance,2000-06-30 10:53:14.959495950
Person_209,,46000,Marketing,
Person_210,,48582,Sales,2000-07-02 04:57:49.306930692
Person_211,49.0,55156,HR,
Person_212,50.0,,Marketing,
Person_213,,55315,HR,2000-07-04 20:04:40.828082808
Person_214,36.0,68678,Marketing,
Person_215,,41259,IT,2000-07-06 14:09:15.175517552
Person_216,61.0,68890,Sales,2000-07-07 11:11:32.349234922
Person_217,43.0,ten thousand,Sales,
Person_218,,46943,HR,2000-07-09 05:16:06.696669666
Person_219,,,IT,2000-07-10 02:18:23.870387038
Person_220,49.0,106249,Finance,2000-07-10 23:20:41.044104410
Person_221,21.0,,Sales,2000-07-11 20:22:58.217821782
Person_222,,,IT,2000-07-12 17:25:15.391539154
Person_223,34.0,48703,IT,2000-07-13 14:27:32.565256526
Person_224,55.0,,HR,2000-07-14 11:29:49.738973896
Person_225,41.0,62568,IT,2000-07-15 08:32:06.912691268
Person_226,22.0,78469,IT,
Person_227,51.0,,Finance,
Person_228,23.0,59529,HR,2000-07-17 23:38:58.433843384
Person_229,39.0,64174,HR,2000-07-18 20:41:15.607560756
Person_230,28.0,,IT,2000-07-19 17:43:32.781278128
Person_231,,92774,Finance,2000-07-20 14:45:49.954995498
Person_232,50.0,,Marketing,2000-07-21 11:48:07.128712870
Person_233,,9999999,Sales,
Person_234,,,HR,2000-07-23 05:52:41.476147614
Person_235,33.0,70341,Finance,2000-07-24 02:54:58.649864986
Person_236,46.0,,Finance,
Person_237,,63646,IT,2000-07-25 20:59:32.997299730
Person_238,37.0,57817,Sales,2000-07-26 18:01:50.171017102
Person_239,53.0,77154,HR,2000-07-27 15:04:07.344734472
Person_240,36.0,,Marketing,
Person_241,,74521,IT,
Person_242,20.0,42084,HR,2000-07-30 06:10:58.865886588
Person_243,36.0,36377,HR,2000-07-31 03:13:16.039603960
Person_244,37.0,72116,Finance,2000-08-01 00:15:33.213321332
Person_245,49.0,70521,Sales,2000-08-01 21:17:50.387038704
Person_246,24.0,,Marketing,2000-08-02 18:20:07.560756076
Person_247,58.0,92547,Sales,2000-08-03 15:22:24.734473448
Person_248,50.0,94560,Finance,
Person_249,57.0,79547,Marketing,
Person_250,56.0,78864,Marketing,2000-08-06 06:29:16.255625560
Person_251,,88810,IT,2000-08-07 03:31:33.429342932
Person_252,57.0,81387,Marketing,2000-08-08 00:33:50.603060304
Person_253,18.0,46390,HR,2000-08-08 21:36:07.776777676
Person_254,,55708,Sales,
Person_255,45.0,,Sales,
Person_256,42.0,62415,IT,
Person_257,40.0,66934,Marketing,
Person_258,,ten thousand,Finance,2000-08-13 06:47:33.645364536
Person_259,47.0,76762,HR,2000-08-14 03:49:50.819081908
Person_260,59.0,92149,IT,2000-08-15 00:52:07.992799280
Person_261,52.0,48290,Marketing,2000-08-15 21:54:25.166516652
Person_262,,,Finance,
Person_263,33.0,79729,Marketing,2000-08-17 15:58:59.513951396
Person_264,43.0,70158,IT,2000-08-18 13:01:16.687668768
Person_265,19.0,73821,Finance,
Person_266,,81766,Finance,
Person_267,29.0,53898,Finance,2000-08-21 04:08:08.208820880
Person_268,22.0,80175,Finance,2000-08-22 01:10:25.382538252
Person_269,,47842,Marketing,2000-08-22 22:12:42.556255624
Person_270,,86032,Finance,2000-08-23 19:14:59.729972996
Person_271,,53045,Marketing,2000-08-24 16:17:16.903690368
Person_272,,74271,Finance,2000-08-25 13:19:34.077407740
Person_273,52.0,101960,Finance,2000-08-26 10:21:51.251125112
Person_274,36.0,87359,IT,2000-08-27 07:24:08.424842484
Person_275,,41021,Marketing,2000-08-28 04:26:25.598559856
Person_276,20.0,62654,Marketing,2000-08-29 01:28:42.772277228
Person_277,37.0,57731,Sales,
Person_278,,65320,IT,2000-08-30 19:33:17.119711972
Person_279,50.0,100162,Marketing,2000-08-31 16:35:34.293429344
Person_280,,58714,IT,
Person_281,28.0,ten thousand,IT,
Person_282,,76730,IT,2000-09-03 07:42:25.814581456
Person_283,53.0,41289,HR,2000-09-04 04:44:42.988298828
Person_284,,57292,Marketing,2000-09-05 01:47:00.162016200
Person_285,57.0,88466,IT,2000-09-05 22:49:17.335733572
Person_286,37.0,ten thousand,HR,2000-09-06 19:51:34.509450944
Person_287,52.0,68528,HR,2000-09-07 16:53:51.683168316
Person_288,42.0,80571,Finance,2000-09-08 13:56:08.856885688
Person_289,,93923,Finance,2000-09-09 10:58:26.030603060
Person_290,42.0,-5000,Marketing,2000-09-10 08:00:43.204320432
Person_291,46.0,63121,Finance,2000-09-11 05:03:00.378037804
Person_292,35.0,55636,Marketing,2000-09-12 02:05:17.551755176
Person_293,,49064,HR,2000-09-12 23:07:34.725472548
Person_294,,,HR,2000-09-13 20:09:51.899189920
Person_295,19.0,62975,Marketing,2000-09-14 17:12:09.072907288
Person_296,,,Finance,2000-09-15 14:14:26.246624660
Person_297,33.0,60767,Finance,2000-09-16 11:16:43.420342032
Person_298,,49174,Marketing,
Person_299,53.0,53348,Sales,2000-09-18 05:21:17.767776776
Person_300,50.0,116950,Finance,2000-09-19 02:23:34.941494148
Person_301,,-5000,IT,
Person_302,50.0,ten thousand,Finance,2000-09-20 20:28:09.288928892
Person_303,31.0,78044,Sales,2000-09-21 17:30:26.462646264
Person_304,38.0,69212,HR,2000-09-22 14:32:43.636363636
Person_305,37.0,42863,HR,2000-09-23 11:35:00.810081008
Person_306,,67463,HR,2000-09-24 08:37:17.983798380
Person_307,,70408,Finance,2000-09-25 05:39:35.157515752
Person_308,20.0,39279,HR,2000-09-26 02:41:52.331233124
Person_309,34.0,54457,Sales,2000-09-26 23:44:09.504950496
Person_310,50.0,57664,Sales,2000-09-27 20:46:26.678667864
Person_311,,,Finance,2000-09-28 17:48:43.852385236
Person_312,39.0,,IT,2000-09-29 14:51:01.026102608
Person_313,39.0,50441,Finance,2000-09-30 11:53:18.199819980
Person_314,,9999999,HR,2000-10-01 08:55:35.373537352
Person_315,47.0,81251,Finance,
Person_316,55.0,,Sales,2000-10-03 03:00:09.720972096
Person_317,55.0,75800,Finance,2000-10-04 00:02:26.894689468
Person_318,62.0,70843,Finance,
Person_319,25.0,,IT,2000-10-05 18:07:01.242124212
Person_320,,32640,Sales,2000-10-06 15:09:18.415841584
Person_321,44.0,85359,Marketing,2000-10-07 12:11:35.589558956
Person_322,,68997,Marketing,2000-10-08 09:13:52.763276328
Person_323,38.0,48547,Sales,2000-10-09 06:16:09.936993700
Person_324,47.0,95839,Marketing,2000-10-10 03:18:27.110711072
Person_325,50.0,,HR,2000-10-11 00:20:44.284428440
Person_326,45.0,78816,Marketing,2000-10-11 21:23:01.458145812
Person_327,64.0,50002,HR,2000-10-12 18:25:18.631863184
Person_328,,37781,Sales,
Person_329,,39495,Marketing,2000-10-14 12:29:52.979297928
Person_330,36.0,,Marketing,
Person_331,21.0,39290,HR,2000-10-16 06:34:27.326732672
Person_332,52.0,52808,HR,2000-10-17 03:36:44.500450044
Person_333,34.0,96920,Finance,2000-10-18 00:39:01.674167416
Person_334,61.0,63350,IT,
Person_335,,ten thousand,Marketing,2000-10-19 18:43:36.021602160
Person_336,47.0,62494,IT,2000-10-20 15:45:53.195319532
Person_337,46.0,70815,IT,2000-10-21 12:48:10.369036904
Person_338,63.0,51244,Marketing,2000-10-22 09:50:27.542754276
Person_339,23.0,38926,HR,2000-10-23 06:52:44.716471648
Person_340,,ten thousand,Finance,2000-10-24 03:55:01.890189016
Person_341,58.0,90941,Sales,
Person_342,54.0,9999999,Marketing,
Person_343,,63944,Marketing,2000-10-26 19:01:53.411341132
Person_344,46.0,67312,Sales,2000-10-27 16:04:10.585058504
Person_345,63.0,70593,IT,2000-10-28 13:06:27.758775876
Person_346,48.0,99517,Finance,2000-10-29 10:08:44.932493248
Person_347,52.0,80185,IT,2000-10-30 07:11:02.106210620
Person_348,50.0,66830,Sales,2000-10-31 04:13:19.279927992
Person_349,,77090,Sales,2000-11-01 01:15:36.453645364
Person_350,,64143,Finance,2000-11-01 22:17:53.627362736
Person_351,40.0,85370,Sales,2000-11-02 19:20:10.801080108
Person_352,,40496,Sales,2000-11-03 16:22:27.974797480
Person_353,20.0,66924,Finance,
Person_354,35.0,69926,Marketing,2000-11-05 10:27:02.322232224
Person_355,42.0,97235,IT,2000-11-06 07:29:19.495949592
Person_356,59.0,53436,Marketing,2000-11-07 04:31:36.669666964
Person_357,,44559,Marketing,2000-11-08 01:33:53.843384336
Person_358,20.0,72969,IT,2000-11-08 22:36:11.017101708
Person_359,57.0,87462,Marketing,2000-11-09 19:38:28.190819080
Person_360,63.0,97103,Finance,
Person_361,41.0,67332,IT,2000-11-11 13:43:02.538253824
Person_362,,46052,HR,2000-11-12 10:45:19.711971196
Person_363,64.0,54461,Marketing,2000-11-13 07:47:36.885688568
Person_364,39.0,83144,Sales,2000-11-14 04:49:54.059405940
Person_365,40.0,59573,IT,2000-11-15 01:52:11.233123312
Person_366,19.0,59333,HR,2000-11-15 22:54:28.406840684
Person_367,,31873,Sales,2000-11-16 19:56:45.580558056
Person_368,59.0,86319,HR,2000-11-17 16:59:02.754275428
Person_369,,57245,Marketing,2000-11-18 14:01:19.927992800
Person_370,43.0,47462,Sales,2000-11-19 11:03:37.101710168
Person_371,34.0,44918,Marketing,2000-11-20 08:05:54.275427540
Person_372,57.0,41271,Sales,2000-11-21 05:08:11.449144912
Person_373,,50750,IT,2000-11-22 02:10:28.622862284
Person_374,26.0,52618,Finance,2000-11-22 23:12:45.796579656
Person_375,60.0,123536,Finance,2000-11-23 20:15:02.970297028
Person_376,56.0,43827,HR,2000-11-24 17:17:20.144014400
Person_377,,ten thousand,Sales,
Person_378,59.0,85546,Marketing,2000-11-26 11:21:54.491449144
Person_379,,71174,IT,2000-11-27 08:24:11.665166516
Person_380,52.0,101972,IT,
Person_381,42.0,95808,IT,2000-11-29 02:28:46.012601260
Person_382,41.0,71027,Finance,2000-11-29 23:31:03.186318632
Person_383,,45565,Marketing,2000-11-30 20:33:20.360036004
Person_384,24.0,71697,IT,2000-12-01 17:35:37.533753376
Person_385,,40027,IT,2000-12-02 14:37:54.707470744
Person_386,62.0,68453,HR,2000-12-03 11:40:11.881188116
Person_387,37.0,37838,Sales,2000-12-04 08:42:29.054905488
Person_388,18.0,33602,Sales,2000-12-05 05:44:46.228622860
Person_389,,65627,Sales,2000-12-06 02:47:03.402340232
Person_390,,67033,HR,2000-12-06 23:49:20.576057604
Person_391,33.0,,Finance,2000-12-07 20:51:37.749774976
Person_392,31.0,62161,HR,
Person_393,29.0,75162,IT,2000-12-09 14:56:12.097209720
Person_394,,61541,Marketing,2000-12-10 11:58:29.270927092
Person_395,,,IT,2000-12-11 09:00:46.444644464
Person_396,45.0,67045,IT,2000-12-12 06:03:03.618361836
Person_397,51.0,48438,Marketing,2000-12-13 03:05:20.792079208
Person_398,19.0,27725,Sales,
Person_399,49.0,75607,HR,
Person_400,40.0,91109,Finance,2000-12-15 18:12:12.313231324
Person_401,39.0,67796,IT,2000-12-16 15:14:29.486948692
Person_402,,60332,IT,2000-12-17 12:16:46.660666064
Person_403,39.0,79828,Finance,2000-12-18 09:19:03.834383436
Person_404,39.0,35971,HR,2000-12-19 06:21:21.008100808
Person_405,59.0,9999999,IT,2000-12-20 03:23:38.181818180
Person_406,23.0,53005,Finance,2000-12-21 00:25:55.355535552
Person_407,32.0,70063,IT,2000-12-21 21:28:12.529252924
Person_408,60.0,59194,Sales,2000-12-22 18:30:29.702970296
Person_409,54.0,9999999,Sales,2000-12-23 15:32:46.876687668
Person_410,50.0,70656,IT,
Person_411,25.0,62544,IT,2000-12-25 09:37:21.224122412
Person_412,61.0,,Sales,2000-12-26 06:39:38.397839784
Person_413,,80157,IT,
Person_414,,54153,HR,2000-12-28 00:44:12.745274528
Person_415,56.0,55344,HR,2000-12-28 21:46:29.918991900
Person_416,21.0,47312,Marketing,
Person_417,23.0,33947,HR,2000-12-30 15:51:04.266426640
Person_418,62.0,9999999,IT,2000-12-31 12:53:21.440144012
Person_419,49.0,106944,IT,2001-01-01 09:55:38.613861384
Person_420,,93633,Finance,
Person_421,64.0,56171,HR,2001-01-03 04:00:12.961296128
Person_422,,42285,Sales,2001-01-04 01:02:30.135013500
Person_423,57.0,66581,Sales,
Person_424,33.0,60525,Marketing,2001-01-05 19:07:04.482448244
Person_425,30.0,,Finance,2001-01-06 16:09:21.656165616
Person_426,,55869,Sales,2001-01-07 13:11:38.829882988
Person_427,47.0,57511,Marketing,2001-01-08 10:13:56.003600360
Person_428,36.0,59048,HR,2001-01-09 07:16:13.177317732
Person_429,34.0,76654,Finance,2001-01-10 04:18:30.351035104
Person_430,,57536,Finance,
Person_431,45.0,52067,IT,2001-01-11 22:23:04.698469844
Person_432,43.0,58303,HR,
Person_433,54.0,83616,Finance,2001-01-13 16:27:39.045904588
Person_434,,78988,Marketing,2001-01-14 13:29:56.219621960
Person_435,,39706,Sales,
Person_436,26.0,49080,HR,2001-01-16 07:34:30.567056704
Person_437,29.0,66599,HR,2001-01-17 04:36:47.740774076
Person_438,18.0,46896,Finance,
Person_439,18.0,61109,Finance,2001-01-18 22:41:22.088208820
Person_440,,85920,Finance,
Person_441,,65037,Marketing,
Person_442,,47105,IT,2001-01-21 13:48:13.609360936
Person_443,42.0,55200,Finance,
Person_444,57.0,73863,IT,2001-01-23 07:52:47.956795680
Person_445,,77562,IT,
Person_446,,32314,HR,
Person_447,33.0,59117,Sales,2001-01-25 22:59:39.477947792
Person_448,56.0,,Sales,2001-01-26 20:01:56.651665164
Person_449,22.0,34891,Marketing,2001-01-27 17:04:13.825382536
Person_450,39.0,82925,Marketing,2001-01-28 14:06:30.999099908
Person_451,46.0,51284,Sales,
Person_452,,71945,Sales,
Person_453,,,HR,2001-01-31 05:13:22.520252024
Person_454,,38117,HR,2001-02-01 02:15:39.693969396
Person_455,,72613,Sales,
Person_456,54.0,91285,Finance,2001-02-02 20:20:14.041404140
Person_457,39.0,82584,Finance,2001-02-03 17:22:31.215121512
Person_458,,69834,HR,2001-02-04 14:24:48.388838884
Person_459,31.0,64263,IT,2001-02-05 11:27:05.562556256
Person_460,45.0,48616,Sales,2001-02-06 08:29:22.736273628
Person_461,22.0,70872,Marketing,2001-02-07 05:31:39.909990996
Person_462,64.0,72049,Finance,
Person_463,47.0,85185,IT,2001-02-08 23:36:14.257425740
Person_464,,74965,Finance,2001-02-09 20:38:31.431143112
Person_465,22.0,,IT,
Person_466,29.0,34716,Sales,2001-02-11 14:43:05.778577856
Person_467,33.0,61933,Sales,2001-02-12 11:45:22.952295228
Person_468,43.0,90065,Sales,2001-02-13 08:47:40.126012600
Person_469,43.0,75168,HR,
Person_470,38.0,66088,IT,2001-02-15 02:52:14.473447344
Person_471,56.0,105090,Marketing,2001-02-15 23:54:31.647164716
Person_472,53.0,64284,Marketing,2001-02-16 20:56:48.820882088
Person_473,50.0,68025,Sales,
Person_474,47.0,-5000,Marketing,2001-02-18 15:01:23.168316832
Person_475,54.0,112021,Finance,2001-02-19 12:03:40.342034204
Person_476,,63239,IT,2001-02-20 09:05:57.515751572
Person_477,27.0,57518,IT,2001-02-21 06:08:14.689468944
Person_478,22.0,46069,IT,
Person_479,,ten thousand,Finance,2001-02-23 00:12:49.036903688
Person_480,51.0,53791,HR,2001-02-23 21:15:06.210621064
Person_481,48.0,103980,Finance,2001-02-24 18:17:23.384338432
Person_482,27.0,71133,IT,2001-02-25 15:19:40.558055808
Person_483,,46798,IT,2001-02-26 12:21:57.731773176
Person_484,49.0,71315,IT,
Person_485,,59649,Marketing,
Person_486,22.0,51559,HR,2001-03-01 03:28:49.252925288
Person_487,62.0,86432,Finance,2001-03-02 00:31:06.426642664
Person_488,21.0,79648,IT,
Person_489,33.0,,Sales,2001-03-03 18:35:40.774077408
Person_490,,57100,HR,2001-03-04 15:37:57.947794776
Person_491,33.0,47075,Sales,2001-03-05 12:40:15.121512152
Person_492,19.0,47105,HR,2001-03-06 09:42:32.295229520
Person_493,,66619,IT,2001-03-07 06:44:49.468946896
Person_494,49.0,58695,HR,
